channel ,Title ,Views ,Like count
RyGaWyDllGU,Ibiza Summer Mix 2023 🍓 Best Of Tropical Deep House Music Chill Out Mix 2023🍓 Chillout Lounge #176,4916,1069
dJX880vT01k,"4K Jazz Cozy Coffee Shop - Smooth Jazz Piano Music &amp; Rain on Window for Relax, Study and Work",3653,632
mNEUkkoUoIA,OneRepublic - I Ain’t Worried (From “Top Gun: Maverick”) [Official Music Video],183142823,1918978
XXYlFuWEuKI,The Weeknd - Save Your Tears (Official Music Video),1221929959,8045080
WcIcVapfqXw,"Rema, Selena Gomez - Calm Down (Official Music Video)",511764092,6230081
GwdnBn4AtWs,Top TRENDING TAGALOG LOVE SONG NONSTOP - Pampatulog Pamatay Puso,3517741,9659
RbAPLm4vJWc,Top 40 Songs of 2022 2023 ☘ Best English Songs ( Best Pop Music Playlist ) on Spotify 2023,50869,625
R_64FLgek8A,Good Vibes Reggae Music | OPM Songs Mix 90&#39;s | Acoustic OPM Road trip | New Tagalog Reggae Non-stop,13992292,60789
MItPSFVzah0,Dragonette - Let it Go | CBC Music Live,63,0
PEM0Vs8jf1w,JVKE - golden hour (official music video),106901096,2000922
-QCVMtrDz1w,Best Soft Songs 2023 - Top 30 Acoustic Soft Songs 2023 - Soft Music Playlist,426926,1398
TO-_3tck2tg,Imagine Dragons - Bones (Official Music Video),226123835,3045866
BX0lKSa_PTk,Oliver Tree &amp; Robin Schulz - Miss You [Official Music Video],195650254,2462403
8n5dJwWXrbo,IShowSpeed - World Cup (Official Music Video),100203581,3360699
crtQSTYWtqE,Ayra Starr - Rush (Official Music Video),180865594,1173884
pTvHMz0wJTk,Dilaw - Uhaw (Tayong Lahat) | Tagalog Love Songs Top Trends - New OPM Playlist 2023,3671493,26674
wZTIdnooV-s,Sub Urban - UH OH! (feat. BENEE) [Official Music Video],112575513,1095590
fLexgOxsZu0,Bruno Mars - The Lazy Song (Official Music Video),2571142351,14041662
kVjY_tyoDx8,2022 New Songs (Latest English Songs 2022) 🍀 Pop Music 2022 New Song 🍀 Top English Chill Songs,2030365,9323
XzOvgu3GPwY,Taylor Swift ft. Ice Spice - Karma (Official Music Video),21048049,1081089
OkxDgYC-sxw,Summer 2023 playlist 🚗 Best summer songs 2023 ~ Summer vibes 2023,64708,457
2TDN50OzZNk,FLOW G - RAPSTAR (Official Music Video),46068628,207300
wYZux3BMc5k,IShowSpeed - Shake (Official Music Video),180061957,4550289
rWF42VRvsLg,Dilaw - Uhaw (Tayong Lahat) Official Music and Lyric Video,22986957,132363
W4N4jMNiseM,🎸Cupid - Dilaw - Uhaw 💓OPM New Acoustic Songs Playlist💓 Top Trends Philippines 2023💓,2515906,13424
kHP15LolHWU,Music Mix 2023 🎧 Remixes of Popular Songs 🎧 EDM Bass Boosted Music Mix,10239,334
b1kbLwvqugk,Taylor Swift - Anti-Hero (Official Music Video),142643385,3093091
sYdrAaw8GB8,LP - One Like You (Official Music Video),117597,14158
tI-s0rGnDuM,Top 40 Songs of 2022 2023 ☘ Best English Songs ( Best Pop Music Playlist ) on Spotify 2023,638952,3233
MoN9ql6Yymw,David Kushner - Daylight (Official Music Video),40467340,1104992
m7Bc3pLyij0,Marshmello ft. Bastille - Happier (Official Music Video),1096939947,14386820
2-kjTALHb98,Valiant - Muhammad (Official Music Video),313511,27115
tu4HfcmMn1E,Alan Walker &amp; Sasha Alex Sloan - Hero (Official Music Video),16336290,446836
fMr5A_i1Xj8,Pasilyo - Sunkissed Lola | Tagalog Love Songs Top Trends - New OPM Playlist 2023,498786,2306
-qO2ED-l1xw,Lil Mabu &amp; DD Osama - THROW (Official Music Video),20270297,398896
5a_0GV7akws,Music Mix 2023 🎧 EDM Remixes of Popular Songs 🎧 EDM Gaming Music,467796,4044
3j1Hp4t3b0I,Music Mix 2023 🎧 EDM Remixes of Popular Songs 🎧 EDM Gaming Music Mix ​,70647,629
a4Zjk5uO_Z0,Habang Ako&#39;y Nabubuhay (Playlist Album) 💖 Masakit Na Kanta Para Sa Mga Broken 💥 PAMATAY PUSONG KANTA,985430,6565
iW3W5Y0H2FQ,Ibiza Summer Mix 2023 🍓 Best Of Tropical Deep House Music Chill Out Mix 2023🍓 Chillout Lounge #173,217759,1737
gAFgaI5D3Gc,MISAMO「Marshmallow」Music Video,4249388,458343
APBRwQp_oOo,Music Mix 2023 🎧 EDM Remixes of Popular Songs 🎧 EDM Gaming Music Mix ​,63697,670
lU7BJPI8RYI,Music Mix 2023 🎧 EDM Remixes of Popular Songs 🎧 Gaming Music - Bass Boosted,358690,3167
-uqWaGzQyxA,TWICE「Hare Hare」Music Video,15868760,633786
EzPpce8DnQ8,Music Mix 2023 🎧 EDM Remixes of Popular Songs 🎧 EDM Gaming Music Mix ​,630653,6585
5GJWxDKyk3A,Billie Eilish - Happier Than Ever (Official Music Video),301701445,6021099
ZRtdQ81jPUQ,YOASOBI「アイドル」 Official Music Video,184545109,2800234
VcrBJ_vVoCs,Ibiza Summer Mix 2023 🍓 Best Of Tropical Deep House Music Chill Out Mix 2023🍓 Chillout Lounge #170,257988,1968
ZAp3xJ7GsY8,"Obsessed - Riar Saab, @AbhijaySharma | Official Music Video",30432743,615320
I5bgTcrY3Wc,Pak-Man - King [Music Video],246362,4928
qFMr5Q-ch1Q,"The Doors, When The Music’s Over - A Classical Musician’s First Listen and Reaction",18658,1721
