channel ,Title ,Views ,Like count
UduS_eFRIDs,Educational stories for kids from Roma and Diana,177785743,307366
_l928dd288Q,Educational stories for kids from Vlad and Niki,145380125,376658
fXsOlAYvgh0,How to Solve the Education Crisis for Boys and Men | Richard Reeves | TED,22067,1013
r5sw-6lJmTA,Why More Education Is Not Always Better | Economics Explained,405824,15353
vxmSNvBhm9A,Education -Floke Rose (VOY2017 Song Contest Winner),703742,9460
JQWT_UT5HfQ,The EVIL History of our Education System (Documentary),916343,42843
OMRASCzuqH8,Diana and Roma - the best educational stories for children,64993160,143306
Zzf5-AyYBjY,The Education System Is Failing Us.,91876,12205
zFwJ9Fuz7_A,Equal Access in Education for Students with Disabilities,11,3
T38Y81FBEcQ,Pink Floyd - Education ( OFFICIAL VIDEO HD ),265277,4045
bJMdeQrf_qo,Floke Rose - Education,179776,3324
XlnspY2wOVw,Why The Education System Is Failing America | CNBC Marathon,939830,15125
rhgwIhB58PA,The Biggest Myth In Education,11987796,469320
HndV87XpkWg,What&#39;s Education For?,1239721,24313
7xCe2m0kiSg,Why Finland&#39;s schools outperform most others across the developed world | 7.30,5774828,159407
mK1kOP-aGO4,Série : Éducation épisode 79 ( théâtre malien),66443,3429
8Q-JdFa8lxw,AI is forcing the Education System to change,1830893,175660
ovxXYMsz37g,The Price of Education In China | Gen 跟 China,401444,8624
IttkDYE33aU,Eric Prydz VS Pink Floyd - &#39;Proper Education&#39; (Official Video),7138059,75386
IAgTv8b20Dg,PSYQUI - Education,1684198,28853
OMbNoo4mCcI,Education For All | Cameron Allen | TEDxKids@ElCajon,76754,1039
KHfr7HCnshY,Elon Musk Wants To Revolutionise our Education,337787,9440
zUR3d2zEqas,Aisa hona Chahiye ? #inspiration #motivation #trending #education #emotional #kids,24391887,1352723
idNbHYjoFkQ,Obedience is NOT Discipline  | Indian Education System  |. Keerthi History  #shorts #history,1664460,109021
OJ_5Kc7aQEo,I Got Into Education Edition,10699756,999041
YNQDp3v-VGE,Elon Musk’s Incredible Speech on the Education System | Eye Opening Video on Education,144386,3957
aIBIEPXo5Mc,Série : Éducation épisode 80 ( théâtre malien ),50050,3070
KVLTxKyxioA,"The Science of Teaching, Effective Education, and Great Schools",328016,9433
hJP5GqnTrNo,How AI Could Save (Not Destroy) Education | Sal Khan | TED,916928,31069
z5vL1T1uIg4,New education system in India 🇮🇳 #shivammalik #shorts ￼,1490445,131442
PjJPn3TS2Qg,The Future of Education | Mike Howells | TEDxPCL,19228,249
,Teachings in Education,688373,42890
NUaYNhzEq_E,&quot;KILL AMERICANS&quot; - China&#39;s New Education Campaign in School,69401,1885
-G-Ov-f1fSs,IELTS Speaking Free Live Lesson: EDUCATION,1181460,124391
4iy_fHfWnnc,How to increase views on education content?🤔 #sandeepmaheshwari #shorts #khansir,6495362,142491
wX78iKhInsc,How to escape education&#39;s death valley | Sir Ken Robinson,25724,1316
U5h6B08kUYs,Omgggg!!!! Tesla &amp; Palantir! This Can’t Be!!!,33840,2524
uXvXapixfcs,Professor Explains Why California&#39;s Education Is Deteriorating,162508,9536
oj9sLBPASvM,teacher in training! ✨ #students #shorts #teacher #education #fun,458099,38179
qzbO7Jp8-Gw,Blood चढ़ाया...Fir Bhi मौत Kyu Hui ?? - Science Explained 😨 #education #shorts #youtubeshort #science,941444,57811
8HVUzbko0YM,Dick Gregory-Never put Education over Liberation!,6468,619
N3lamGHPoc4,Education is a Nightmare Right Now- David Harvey&#39;s Anti-Capitalist Chronicles,3959648,
6lYde6nBF4Q,India vs US Education System #shorts #kohli #sharktankindia #cricket,394745,
tI1s6KCCh-Q,Tate on Why Modern Education is USELESS,426102,2641
YIZwethlvaU,Why does our Foot Fall Asleep? + more videos | #aumsum #kids #science #education #whatif,6116551,
v7TqY4_mmjg,New vs Old Indian education system 🤔 #shorts #gurukul #sanatandharma #bharat,15911044,1611977
YnfzOl1tyJQ,True Definition of Education | Old Man English Speaking | Kerala Old Man Speaking English,2965211,257261
tMu_TCsAAvc,The Indian Education system is going to change after 250 years ! Finally! 💯,3651322,36629
XLYqTZKEpvs,Daryl Hall &amp; John Oates - Adult Education (Official Video),141246724,
PUJEwZGnksg,Colors for Children to Learn with Train Transporter Toy Street Vehicles - Educational Videos,2017-11-08T12:18:31Z,
