channel,title ,View Count,Like Count
3SsK-cxlj_w,25 Greatest Natural Wonders of the World - Travel Video,21570286,119802
sr284c-q8oY,My Solo Trip to ALASKA | Cruising From Vancouver to Anchorage,2203149,72991
YLYRSVFN5go,Top 7 INCREDIBLE Travel Destinations of 2022 | Where to Travel This Year!,884871,31394
PEBGC1vFJUc,Ocean Access Remote Hot Spring | Trip to Paradise | Destination Adventure,42381,4224
Qmi-Xwq-MEc,Traveling to the Happiest Country in the World!!,8495335,317341
hdNmKwriNpY,OE | Namibia | An adventure like no other | Ep1 #overlanding #namibia #adventuretravel #travel,163637,2066
7lvXbfNBIQg,25 Most Beautiful Destinations in Europe - Travel Video,8675987,93464
1FGmSp9hR9s,Adventure Travel Destinations 2023 | Adventure Travel Vlog | 10 Best Adventure Destinations USA,37529,2208
MkeEvvIfBY0,"Sedona, Arizona Breath-Taking Hike! 🌄 #sedona #travel #shorts #fun #short",112,5
dJdF65PvAiI,Beginning of an EPIC Solo Motorcycle Trip To Iceland - Adventure of a Lifetime [S4 - E1],331254,7744
q5elqE21EHk,"18 Day Japan Travel Adventure - Volcanoes, Castles, Fishing &amp; More (Kyushu, Osaka, Kyoto, Hiroshima)",838811,19173
9UjK5jC8T5U,I Explored the AMAZON RAINFOREST for 100 Hours,1188916,24989
TRDXzQwJreg,5 Years of Travel (Lessons and Adventures),618610,18765
v4CA65JyaVA,NORWAY TRAVEL DOCUMENTARY | The Grand Norwegian Roadtrip,6972007,34596
ZIJ2dMhCoP4,RAIN FOREST OVERLAND JEEP ADVENTURE - Dangerous River Crossing Attempt!  /// EFRT S6•EP16,2445125,25720
IEjJTSrkugg,Most beautiful places in Guatemala #travel #explore #adventure #nature,437701,29646
wJF5NXygL4k,3 Years of Travel in 3 Minutes (Lessons and Adventures),5339866,79711
Sv1B0IonzqM,Can adventure travel change you? | Michelle Spinei | TEDxReykjavik,20962,1421
bPyKLRKlomU,The Dark Side of Motorcycle Traveling!,99636,5305
eYb55II751w,Places in Bolivia that don’t feel real #travel #adventure #nature #explore,174555,12318
d8K5u0EJPrk,Places in Indonesia that don’t feel real #travel #adventure #explore #nature,540426,36048
PejPopUvhhc,Most beautiful places in Poland #travel #adventure #explore #nature,776969,51385
5k-w4YihztI,Most beautiful places in Germany #travel #traveling #nature #explore #adventure,2392125,130067
IyMutL1dlpQ,Сверху виднее:  Как живут на Тайване  - Travel+Adventure,45749,318
tNHfbVVIfig,Places in Ireland that don’t feel real #adventure #travel #explore #nature,215916,16113
Yh0rKAoKCic,Vlad and Niki - funny stories about travel and adventure,22174096,68260
3Wdyvebnlds,Most beautiful places in Philippines #adventure #travel #explore #nature,465903,36264
mK5C2HwgSws,Most beautiful places in Faroe Islands #travel #adventure #explore #nature,298068,19686
h1FCUNSK0vQ,Most beautiful places in Peru #travel #adventure #explore #nature,151823,15221
6hxlX6iWY-Y,Places in Thailand that’s don’t feel real #travel #adventure #explore #nature #thailand,272297,18679
6DscpQv4u5w,💥Better News For Bad Times Ahead 😎 Love Travel Adventure 💥,1971,189
7x1Kz5X9wR0,Places in Australia that don’t feel real #travel #adventure #explore #nature #australia,298857,26682
YhdgQCW0MAE,💥When EVERYTHING Changes You BETTER Rise Up 👀 Love Travel Adventure 💥,1953,227
lHNzsVxrWqU,OE | Namibia | An adventure like no other | Ep2 #overlanding #namibia #adventuretravel #travel,102560,922
fmmXvoKGNGk,"Up&amp;Down Central Asia Adventure - Russia, Mongolia, Kyrgyzstan, Tajikistan, Uzbekistan",860810,14863
SJxWFOd4CDQ,Most beautiful places in Madagascar #travel #explore #adventure #adventure,338715,27280
N1934B5vaGI,Places don’t feel real in France #travel #explore #adventure #nature,41271199,757499
o7Y5Y_CC3vI,Most beautiful places in Chile #travel #adventure #explore #nature,207235,14899
qouMY99ESgo,My Proven Travel Tips: How to Plan and Execute ANY Adventure,20717,1006
OJJkl5Ap6RU,I&#39;m On An Adventure With No Destination.,446981,44047
_4WX1zHp8m8,Most beautiful places in Sri Lanka #travel #explore #adventure #nature,1400189,84486
q8DpEhLMLYI,Romania: Europe&#39;s Most Unique Country (Travel Adventure),479108,5546
z7ZdkS9NWME,Places on Earth that don’t feel real #travel #adventure #explore #nature,194105,16594
7oDb-6kHXZo,Top 10 Adventure Travel Trips in 2019,55143,3254
RjwgJhPMeK8,Телеканал  Travel+Adventure - Путешествие каждый день!,31452,167
v59GGlrnv3k,Most beautiful places in Lebanon #adventure #travel #explore #nature,1437680,81542
pzXyVQ-hIvw,🚨 I Almost Got A ARRESTED Yesterday at The Hospital 💥 Love Travel Adventure 🚨,1823,210
K3Ku4T2wn7M,Most beautiful places in USA #travel #explore #adventure #nature,19611794,
KQ4UhupOjd4,Сверху виднее: Лаос - Travel+Adventure,16888,112
gzwWKnDbC6c,Most beautiful places in Afghanistan #travel #adventure #explore #nature,506057,29168
